Tariff,Goods Description,Official Description
6205202067,M SHIRT,"MEN'S SHIRTS OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
6217109510,MASK,"OTHER MADE UP CLOTHING: ACCESSORIES, OF COTTON"
6304920000,MAT COVER,"FURNISHING ARTICLES, EXCLUDING THOSE OF HEADING 9404, NOT KNITTED OR CROCHETED, OF COTTON, NESOI"
9506910030,MATS,"GYMNASIUM, OR OTHER EXERCISE ARTICLES AND EQUIPMENT, PARTS AND ACCESSORIES THEREOF, NESOI"
6211329081,MC KURTA,"MEN'S OR BOYS' OTHER APPAREL, OF COTTON, NOT KNITTED NESOI"
6203424518,MC PANT,"MEN'S TROUSERS AND BREECHES OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
6205202067,MC SHIRT,"MEN'S SHIRTS OF COTTON, NOT KNITTED OR CROCHETED, NESOI"
6103421020,MENS COTTON PANTS,"MEN'S TROUSERS AND BREECHES, KNITTED OR CROCHETTED: OF COTTON"
1515908190,NEEM LAMP OIL,"FIXED VEGETABLE FATS AND OILS AND THEIR FRACTIONS NESOI, WHETHER OR NOT REFINED BUT NOT CHEMICALLY MODIFIED"
2106909998,NEEM POWDER,"FOOD PREPARATIONS NOT ELSEWHERE SPECIFIED OR INCLUDED, NOT CANNED OR FROZEN"
2106909998,NILAVEMBU MIX,"FOOD PREPARATIONS NOT ELSEWHERE SPECIFIED OR INCLUDED, NOT CANNED OR FROZEN"
2106909998,NILAVEMBU POWDER,"FOOD PREPARATIONS NOT ELSEWHERE SPECIFIED OR INCLUDED, NOT CANNED OR FROZEN"
4820102020,NOTEBOOK,"MEMORANDUM PADS, LETTER PADS AND SIMILAR ARTICLES OF PAPER OR PAPERBOARD"
4421999880,OTHER WOOD ITEMS,"ARTICLES OF WOOD, NESOI"
8425420000,PALLET JACK,"JACKS AND HOISTS, HYDRAULIC, EXCEPT BUILT-IN JACKING SYSTEMS USED IN GARAGES"
